Matrix Size,Tile Size,Command,Instructions,Cache Misses,Elapsed Time
4,4,4,atlas,115825,1748,0.004619821
4,4,8,atlas,117378,1851,0.004013095
4,4,32,atlas,126514,1818,0.004278097
4,4,64,atlas,138869,1882,0.000707893
4,4,128,atlas,163281,1900,0.004474950
4,4,256,atlas,212113,1881,0.004501098
4,4,512,atlas,309758,2067,0.004192948
4,4,1024,atlas,505082,2407,0.004763951
4,4,2048,atlas,903951,2797,0.004872785
4,4,4096,atlas,1685216,3946,0.005664363
4,8,4,atlas,118861,1815,0.004366542
4,8,8,atlas,121928,1843,0.004973174
4,8,32,atlas,140216,1916,0.004239855
4,8,64,atlas,164671,1829,0.004434487
4,8,128,atlas,213369,1917,0.004489654
4,8,256,atlas,310758,2113,0.004260189
4,8,512,atlas,505593,2422,0.000773467
4,8,1024,atlas,903416,2913,0.005353751
4,8,2048,atlas,1688032,3948,0.005606826
4,8,4096,atlas,3265689,5912,0.007099130
4,32,4,atlas,137076,1837,0.004463986
4,32,8,atlas,149276,1935,0.004285819
4,32,32,atlas,222172,2054,0.004851323
4,32,64,atlas,319493,2062,0.004277060
4,32,128,atlas,513915,2412,0.004457468
4,32,256,atlas,910955,2958,0.005151638
4,32,512,atlas,1697079,3974,0.005681178
4,32,1024,atlas,3268655,5852,0.006662072
4,32,2048,atlas,6412206,9806,0.008526731
4,32,4096,atlas,12699302,17664,0.013167940
4,64,4,atlas,161477,1976,0.000698466
4,64,8,atlas,185777,1881,0.000698485
4,64,32,atlas,331539,2166,0.004485098
4,64,64,atlas,526008,2477,0.000760690
4,64,128,atlas,922933,2968,0.000882282
4,64,256,atlas,1708546,3870,0.005859235
4,64,512,atlas,3279846,5905,0.006720833
4,64,1024,atlas,6422370,9797,0.007825264
4,64,2048,atlas,12707402,17573,0.008252562
4,64,4096,atlas,25277517,33121,0.021601170
4,128,4,atlas,210049,1910,0.004471672
4,128,8,atlas,258635,2037,0.004332449
4,128,32,atlas,550125,2390,0.004391986
4,128,64,atlas,947093,3019,0.004987230
4,128,128,atlas,1732591,3890,0.005692642
4,128,256,atlas,3303620,5751,0.006755351
4,128,512,atlas,6445632,9789,0.008306119
4,128,1024,atlas,12729660,17586,0.012232398
4,128,2048,atlas,25297711,33259,0.016552626
4,128,4096,atlas,50433803,64623,0.032612415
4,256,4,atlas,307193,2098,0.004830600
4,256,8,atlas,404359,2163,0.004741618
4,256,32,atlas,995496,3021,0.000984246
4,256,64,atlas,1781041,3901,0.003121869
4,256,128,atlas,3351932,5902,0.006574627
4,256,256,atlas,6493688,9999,0.008335692
4,256,512,atlas,12777204,17583,0.010610279
4,256,1024,atlas,25344209,33147,0.021704171
4,256,2048,atlas,50478279,64571,0.033164381
4,256,4096,atlas,100746371,127269,0.051240088
4,512,4,atlas,501497,2211,0.004932526
4,512,8,atlas,695807,2545,0.004489098
4,512,32,atlas,1878065,4148,0.001197710
4,512,64,atlas,3448962,6145,0.001700139
4,512,128,atlas,6590584,9926,0.008460100
4,512,256,atlas,12873821,17889,0.007323261
4,512,512,atlas,25440337,33503,0.013862925
4,512,1024,atlas,50573365,65029,0.031302167
4,512,2048,atlas,100839427,128260,0.051091976
4,512,4096,atlas,201363369,253418,0.084024263
4,1024,4,atlas,890108,2897,0.004497006
4,1024,8,atlas,1286906,3411,0.000999395
4,1024,32,atlas,3643117,6306,0.006858574
4,1024,64,atlas,6784754,10359,0.002718329
4,1024,128,atlas,13067884,18085,0.008436711
4,1024,256,atlas,25634136,33567,0.019410566
4,1024,512,atlas,50766652,65366,0.022172063
4,1024,1024,atlas,101031676,128028,0.043779381
4,1024,2048,atlas,201561719,253903,0.077943027
4,1024,4096,atlas,402613638,505609,0.150411839
4,2048,4,atlas,1683695,4013,0.005489751
4,2048,8,atlas,2469130,4821,0.006531072
4,2048,32,atlas,7181416,10791,0.003211146
4,2048,64,atlas,13464557,18488,0.013242015
4,2048,128,atlas,26030687,34179,0.021022538
4,2048,256,atlas,51162939,65120,0.035152446
4,2048,512,atlas,101427451,128201,0.043440417
4,2048,1024,atlas,201956452,254160,0.084545191
4,2048,2048,atlas,403014537,512050,0.145460386
4,2048,4096,atlas,805122429,1009733,0.283734807
4,4096,4,atlas,3254484,5859,0.006548072
4,4096,8,atlas,4825258,7850,0.007215668
4,4096,32,atlas,14249792,19564,0.013775407
4,4096,64,atlas,26815914,35166,0.021453207
4,4096,128,atlas,51948055,66407,0.035819469
4,4096,256,atlas,102212311,129618,0.046597285
4,4096,512,atlas,202740979,255816,0.086838648
4,4096,1024,atlas,403797119,507188,0.147898899
4,4096,2048,atlas,805909110,1011037,0.274599166
4,4096,4096,atlas,1610131769,2018343,0.543473284
8,4,4,atlas,117378,1786,0.004383579
8,4,8,atlas,118908,1876,0.000675596
8,4,32,atlas,128149,1895,0.004423264
8,4,64,atlas,140511,1863,0.004365579
8,4,128,atlas,165057,1883,0.000698596
8,4,256,atlas,214122,1981,0.000722300
8,4,512,atlas,312317,2076,0.004683970
8,4,1024,atlas,508645,2376,0.004519246
8,4,2048,atlas,901356,2927,0.005198528
8,4,4096,atlas,1686755,3923,0.005832568
8,8,4,atlas,121924,1795,0.001017376
8,8,8,atlas,124964,1897,0.004416690
8,8,32,atlas,143415,1898,0.004609247
8,8,64,atlas,167831,1951,0.000674485
8,8,128,atlas,216655,1865,0.004289708
8,8,256,atlas,314323,2157,0.004314894
8,8,512,atlas,509624,2369,0.000910986
8,8,1024,atlas,908497,2959,0.000933930
8,8,2048,atlas,1689781,3900,0.005731716
8,8,4096,atlas,3260600,5829,0.006575109
8,32,4,atlas,149274,1926,0.004352783
8,32,8,atlas,161501,1896,0.004494320
8,32,32,atlas,234556,2029,0.004662080
8,32,64,atlas,331834,2142,0.004680933
8,32,128,atlas,526386,2316,0.004803989
8,32,256,atlas,923686,2994,0.000972246
8,32,512,atlas,1709230,3881,0.005192658
8,32,1024,atlas,3282925,5891,0.006735110
8,32,2048,atlas,6428517,9877,0.008884084
8,32,4096,atlas,12703352,17593,0.012957735
8,64,4,atlas,185758,1949,0.004419764
8,64,8,atlas,210069,1965,0.000719892
8,64,32,atlas,355994,2127,0.004377357
8,64,64,atlas,550397,2399,0.004654432
8,64,128,atlas,947475,2868,0.005140138
8,64,256,atlas,1733384,3975,0.001224599
8,64,512,atlas,3305160,5949,0.006533739
8,64,1024,atlas,6448707,9869,0.008109950
8,64,2048,atlas,12735784,17620,0.012691882
8,64,4096,atlas,25293638,33409,0.019487011
8,128,4,atlas,258616,1951,0.004275134
8,128,8,atlas,307198,2058,0.004166781
8,128,32,atlas,598847,2481,0.004633228
8,128,64,atlas,995795,2968,0.005560974
8,128,128,atlas,1781685,4024,0.001243062
8,128,256,atlas,3352685,5909,0.006332756
8,128,512,atlas,6495209,9878,0.008373915
8,128,1024,atlas,12780279,17555,0.012617530
8,128,2048,atlas,25350375,33178,0.021073093
8,128,4096,atlas,50474229,64558,0.032449469
8,256,4,atlas,404359,2254,0.004549968
8,256,8,atlas,501525,2353,0.001709787
8,256,32,atlas,1092817,3171,0.004962564
8,256,64,atlas,1878317,4095,0.001278026
8,256,128,atlas,3449340,6134,0.007025445
8,256,256,atlas,6591337,10041,0.008523860
8,256,512,atlas,12875361,17777,0.012794272
8,256,1024,atlas,25443431,33364,0.015268044
8,256,2048,atlas,50571358,64588,0.034341609
8,256,4096,atlas,100835377,127435,0.050983012
8,512,4,atlas,695788,2656,0.004720025
8,512,8,atlas,890132,2932,0.005075342
8,512,32,atlas,2072487,4410,0.005667882
8,512,64,atlas,3643365,6335,0.006649480
8,512,128,atlas,6785136,10178,0.008782547
8,512,256,atlas,13068637,18087,0.013006939
8,512,512,atlas,25635680,33552,0.020423738
8,512,1024,atlas,50769727,64969,0.034531313
8,512,2048,atlas,101029669,127748,0.050796603
8,512,4096,atlas,201557669,253916,0.078802104
8,1024,4,atlas,1286921,3360,0.005485085
8,1024,8,atlas,1683719,3973,0.001784565
8,1024,32,atlas,4040061,6732,0.007370613
8,1024,64,atlas,7181687,10789,0.002909497
8,1024,128,atlas,13464939,18518,0.012540826
8,1024,256,atlas,26031436,34165,0.020690499
8,1024,512,atlas,51164479,65900,0.029559880
8,1024,1024,atlas,101430507,129262,0.043662306
8,1024,2048,atlas,201954434,254246,0.083577815
8,1024,4096,atlas,403010430,507969,0.150855136
8,2048,4,atlas,2469305,4898,0.005457529
8,2048,8,atlas,3254489,5914,0.006337996
8,2048,32,atlas,7966937,11717,0.004828488
8,2048,64,atlas,14250063,19536,0.009226531
8,2048,128,atlas,26816315,35075,0.015955474
8,2048,256,atlas,51948979,66738,0.037266624
8,2048,512,atlas,102212964,129270,0.050298842
8,2048,1024,atlas,202740982,255044,0.084722747
8,2048,2048,atlas,403795821,506697,0.152174976
8,2048,4096,atlas,805907809,1009993,0.239649626
8,4096,4,atlas,4825254,7821,0.007265020
8,4096,8,atlas,6396069,9805,0.008009301
8,4096,32,atlas,15820726,21556,0.013712295
8,4096,64,atlas,28386856,37200,0.023773293
8,4096,128,atlas,53519108,68544,0.036085359
8,4096,256,atlas,103783620,131440,0.046353432
8,4096,512,atlas,204312640,257346,0.081359673
8,4096,1024,atlas,405370682,508935,0.148488382
8,4096,2048,atlas,807486758,1013159,0.276193098
8,4096,4096,atlas,1611702588,2021134,0.579448674
32,4,4,atlas,126495,1849,0.000650799
32,4,8,atlas,128168,1856,0.004087725
32,4,32,atlas,137648,1856,0.000718930
32,4,64,atlas,150381,1861,0.004237689
32,4,128,atlas,175676,1976,0.004508339
32,4,256,atlas,226318,2005,0.004589673
32,4,512,atlas,319393,2067,0.000737041
32,4,1024,atlas,513693,2451,0.000788116
32,4,2048,atlas,910477,2906,0.005041879
32,4,4096,atlas,1695853,3950,0.001192358
32,8,4,atlas,140214,1864,0.000713652
32,8,8,atlas,143382,1880,0.000688281
32,8,32,atlas,162080,1905,0.004559654
32,8,64,atlas,186886,1872,0.004394282
32,8,128,atlas,236478,1994,0.004242856
32,8,256,atlas,335681,2123,0.004751044
32,8,512,atlas,525881,2347,0.001888806
32,8,1024,atlas,922696,2996,0.005143120
32,8,2048,atlas,1708072,3968,0.001157432
32,8,4096,atlas,3278876,5999,0.006566017
32,32,4,atlas,222174,2031,0.004582191
32,32,8,atlas,234556,1985,0.004268004
32,32,32,atlas,307796,2192,0.000713282
32,32,64,atlas,405464,2184,0.004799470
32,32,128,atlas,600784,2535,0.004883600
32,32,256,atlas,999638,3031,0.004989674
32,32,512,atlas,1780922,3962,0.005543770
32,32,1024,atlas,3351738,6054,0.007185297
32,32,2048,atlas,6493219,9901,0.008120709
32,32,4096,atlas,12776238,17602,0.012117619
32,64,4,atlas,331539,2102,0.004371801
32,64,8,atlas,355998,2165,0.000741485
32,64,32,atlas,502081,2317,0.004573506
32,64,64,atlas,696912,2739,0.005220453
32,64,128,atlas,1094739,3218,0.000972190
32,64,256,atlas,1882179,4130,0.005586697
32,64,512,atlas,3448877,6147,0.001710157
32,64,1024,atlas,6590381,9918,0.009218549
32,64,2048,atlas,12873381,17755,0.012788031
32,64,4096,atlas,25439385,33360,0.020608739
32,128,4,atlas,550121,2474,0.004722340
32,128,8,atlas,598843,2441,0.004429616
32,128,32,atlas,890707,2807,0.004988008
32,128,64,atlas,1287992,3357,0.005275028
32,128,128,atlas,2074428,4367,0.006324830
32,128,256,atlas,3647227,6393,0.007503039
32,128,512,atlas,6784658,10122,0.008934992
32,128,1024,atlas,13067662,18215,0.007506948
32,128,2048,atlas,25633677,33601,0.018954564
32,128,4096,atlas,50765677,64873,0.029308156
32,256,4,atlas,995511,3062,0.005243250
32,256,8,atlas,1092813,3046,0.005310380
32,256,32,atlas,1684298,3866,0.005435732
32,256,64,atlas,2470203,4830,0.006056513
32,256,128,atlas,4041960,6863,0.006758906
32,256,256,atlas,7185530,10681,0.008720343
32,256,512,atlas,13464461,18656,0.007049501
32,256,1024,atlas,26030465,34202,0.019239954
32,256,2048,atlas,51162465,65607,0.030629996
32,256,4096,atlas,101426461,129014,0.033768291
32,512,4,atlas,1878259,4147,0.006039736
32,512,8,atlas,2072834,4456,0.005769271
32,512,32,atlas,3255059,6003,0.001662380
32,512,64,atlas,4826487,7859,0.007932987
32,512,128,atlas,7967983,11829,0.010144165
32,512,256,atlas,14250986,19712,0.013810963
32,512,512,atlas,26815837,35157,0.022071117
32,512,1024,atlas,51947837,66487,0.033268177
32,512,2048,atlas,102211837,129530,0.055700870
32,512,4096,atlas,202739833,255243,0.084984063
32,1024,4,atlas,3643098,6343,0.006670591
32,1024,8,atlas,4040057,6775,0.006827740
32,1024,32,atlas,6396608,9727,0.008768472
32,1024,64,atlas,9538624,13467,0.010364611
32,1024,128,atlas,15822652,21609,0.009964424
32,1024,256,atlas,28390703,37076,0.020130366
32,1024,512,atlas,53526795,68509,0.033489234
32,1024,1024,atlas,103782648,131388,0.050405971
32,1024,2048,atlas,204310644,257325,0.082506031
32,1024,4096,atlas,405366636,510815,0.151732398
32,2048,4,atlas,7181420,10683,0.008522952
32,2048,8,atlas,7966933,11755,0.010213369
32,2048,32,atlas,12679589,17550,0.012568437
32,2048,64,atlas,18963124,25487,0.009915886
32,2048,128,atlas,31530148,40954,0.025967120
32,2048,256,atlas,56664203,72414,0.033071435
32,2048,512,atlas,106932295,135501,0.051017475
32,2048,1024,atlas,207452144,261112,0.081617989
32,2048,2048,atlas,408508121,513000,0.161840138
32,2048,4096,atlas,810620120,1016891,0.279929043
32,4096,4,atlas,14249796,19537,0.013385053
32,4096,8,atlas,15820721,21355,0.014797635
32,4096,32,atlas,25245589,32967,0.020824351
32,4096,64,atlas,37812128,48792,0.023743775
32,4096,128,atlas,62945148,80135,0.038489482
32,4096,256,atlas,113211195,142932,0.055018125
32,4096,512,atlas,213743287,269124,0.085033859
32,4096,1024,atlas,414791131,521076,0.154968601
32,4096,2048,atlas,816903115,1028704,0.282199203
32,4096,4096,atlas,1621127092,2047122,0.562805712
64,4,4,atlas,138836,1867,0.004279875
64,4,8,atlas,140482,1867,0.004387913
64,4,32,atlas,150348,1791,0.004570117
64,4,64,atlas,163620,1956,0.004843951
64,4,128,atlas,189938,1967,0.000706356
64,4,256,atlas,242606,2087,0.004456135
64,4,512,atlas,331593,2132,0.000729337
64,4,1024,atlas,525904,2407,0.004694081
64,4,2048,atlas,922692,2932,0.004923674
64,4,4096,atlas,1708068,3987,0.001168506
64,8,4,atlas,164619,1943,0.000710152
64,8,8,atlas,167794,1904,0.004649802
64,8,32,atlas,186882,1952,0.004698821
64,8,64,atlas,212188,1991,0.000677559
64,8,128,atlas,262796,2003,0.004579098
64,8,256,atlas,355875,2211,0.000850727
64,8,512,atlas,550190,2413,0.000804689
64,8,1024,atlas,946978,3027,0.005040619
64,8,2048,atlas,1732350,4019,0.001441952
64,8,4096,atlas,3303162,5919,0.001647750
64,32,4,atlas,319432,2137,0.004547339
64,32,8,atlas,331815,2129,0.004304690
64,32,32,atlas,405464,2161,0.004597765
64,32,64,atlas,503640,2434,0.004871767
64,32,128,atlas,699987,2605,0.005044767
64,32,256,atlas,1092698,3158,0.000979950
64,32,512,atlas,1878134,4181,0.005416788
64,32,1024,atlas,3448867,6046,0.006708591
64,32,2048,atlas,6590386,9899,0.006121348
64,32,4096,atlas,12873386,17880,0.012106027
64,64,4,atlas,526008,2460,0.000773690
64,64,8,atlas,550420,2304,0.004580988
64,64,32,atlas,696916,2670,0.004586450
64,64,64,atlas,892247,2941,0.005348325
64,64,128,atlas,1290343,3422,0.005364103
64,64,256,atlas,2072426,4435,0.001266155
64,64,512,atlas,3643186,6357,0.007349669
64,64,1024,atlas,6784682,10421,0.002700237
64,64,2048,atlas,13067663,18028,0.013177459
64,64,4096,atlas,25633682,33595,0.020981871
64,128,4,atlas,947089,2967,0.004571913
64,128,8,atlas,995810,2920,0.004862600
64,128,32,atlas,1288026,3345,0.005861994
64,128,64,atlas,1685119,3927,0.005999421
64,128,128,atlas,2473263,4880,0.006478034
64,128,256,atlas,4039961,6750,0.007918153
64,128,512,atlas,7181469,10648,0.009544495
64,128,1024,atlas,13464446,18469,0.014095019
64,128,2048,atlas,26030469,34076,0.021830449
64,128,4096,atlas,51162465,65245,0.026909162
64,256,4,atlas,1781056,4068,0.001226710
64,256,8,atlas,1878683,4259,0.006055829
64,256,32,atlas,2470464,4849,0.006235626
64,256,64,atlas,3255884,5798,0.007059001
64,256,128,atlas,4826467,7736,0.007997764
64,256,256,atlas,7966837,11643,0.009800978
64,256,512,atlas,14249822,19542,0.014881227
64,256,1024,atlas,26815841,34989,0.020729425
64,256,2048,atlas,51947818,66314,0.035313614
64,256,4096,atlas,102211818,128957,0.047493882
64,512,4,atlas,3448939,6133,0.002281623
64,512,8,atlas,3643365,6355,0.006561313
64,512,32,atlas,4826455,7728,0.007341780
64,512,64,atlas,6398148,9780,0.008684157
64,512,128,atlas,9541699,13735,0.010527112
64,512,256,atlas,15828780,21420,0.015477823
64,512,512,atlas,28386633,36748,0.022702936
64,512,1024,atlas,53518652,68386,0.035542003
64,512,2048,atlas,103782648,131792,0.052197388
64,512,4096,atlas,204310644,257346,0.078468546
64,1024,4,atlas,6784754,10373,0.002701366
64,1024,8,atlas,7181664,10733,0.008744935
64,1024,32,atlas,9538619,13829,0.003567760
64,1024,64,atlas,12681148,17533,0.012951680
64,1024,128,atlas,18966203,25354,0.015168192
64,1024,256,atlas,31536276,40973,0.025446691
64,1024,512,atlas,56660152,72130,0.037295531
64,1024,1024,atlas,106924152,135258,0.046182393
64,1024,2048,atlas,207452144,261286,0.081477784
64,1024,4096,atlas,408508136,513226,0.146943687
64,2048,4,atlas,13464538,18494,0.013662887
64,2048,8,atlas,14250059,19367,0.013320182
64,2048,32,atlas,18963119,25334,0.015928378
64,2048,64,atlas,25247129,33124,0.021077651
64,2048,128,atlas,37815180,48760,0.029906003
64,2048,256,atlas,62951295,80082,0.038339333
64,2048,512,atlas,113207148,143016,0.056172686
64,2048,1024,atlas,213735148,270542,0.083781118
64,2048,2048,atlas,414791140,520656,0.155279011
64,2048,4096,atlas,816903120,1024818,0.285701290
64,4096,4,atlas,26815937,35062,0.021637228
64,4096,8,atlas,28386847,36977,0.022837661
64,4096,32,atlas,37812119,48858,0.027156429
64,4096,64,atlas,50379152,64799,0.020439109
64,4096,128,atlas,75513184,96123,0.038143479
64,4096,256,atlas,125781276,160335,0.047317184
64,4096,512,atlas,226301129,284827,0.086112816
64,4096,1024,atlas,427357112,536751,0.148525094
64,4096,2048,atlas,829469115,1040612,0.290984630
64,4096,4096,atlas,1633693088,2048052,0.556428859
128,4,4,atlas,163229,1880,0.000698653
128,4,8,atlas,165024,1919,0.004487825
128,4,32,atlas,175658,1953,0.004478899
128,4,64,atlas,189957,1903,0.004808438
128,4,128,atlas,218335,2013,0.000884857
128,4,256,atlas,258742,1923,0.004813067
128,4,512,atlas,355894,2180,0.004688455
128,4,1024,atlas,550190,2472,0.000803968
128,4,2048,atlas,946978,3017,0.004691252
128,4,4096,atlas,1732354,3915,0.005413459
128,8,4,atlas,213336,1951,0.004456602
128,8,8,atlas,216607,2015,0.000705190
128,8,32,atlas,236463,2020,0.000698560
128,8,64,atlas,262815,2020,0.004392565
128,8,128,atlas,307310,2112,0.004672418
128,8,256,atlas,404470,2101,0.004570621
128,8,512,atlas,598766,2442,0.004746122
128,8,1024,atlas,995554,3008,0.005118865
128,8,2048,atlas,1780930,4027,0.005271533
128,8,4096,atlas,3351734,5930,0.006959580
128,32,4,atlas,513854,2374,0.004719659
128,32,8,atlas,526386,2442,0.000862968
128,32,32,atlas,600784,2462,0.004360194
128,32,64,atlas,699987,2606,0.000836487
128,32,128,atlas,890206,2921,0.004668955
128,32,256,atlas,1287002,3475,0.001033821
128,32,512,atlas,2072411,4367,0.001270082
128,32,1024,atlas,3643182,6353,0.006427743
128,32,2048,atlas,6784667,10290,0.002787146
128,32,4096,atlas,13067682,17960,0.012551058
128,64,4,atlas,922929,3005,0.005255606
128,64,8,atlas,947490,3016,0.000958506
128,64,32,atlas,1094735,3254,0.001042618
128,64,64,atlas,1290363,3398,0.005807462
128,64,128,atlas,1683797,3918,0.005611145
128,64,256,atlas,2469222,4785,0.006485021
128,64,512,atlas,4039970,6883,0.002379792
128,64,1024,atlas,7181474,10636,0.008225421
128,64,2048,atlas,13464470,18515,0.013897734
128,64,4096,atlas,26030455,34226,0.021531688
128,128,4,atlas,1732591,3945,0.005199717
128,128,8,atlas,1781743,4075,0.006250131
128,128,32,atlas,2074719,4468,0.001342693
128,128,64,atlas,2473558,4939,0.006768689
128,128,128,atlas,3254586,5899,0.007205581
128,128,256,atlas,4825327,7773,0.007470768
128,128,512,atlas,7966827,11792,0.009474113
128,128,1024,atlas,14249846,19569,0.014728461
128,128,2048,atlas,26815846,35118,0.022673694
128,128,4096,atlas,51947842,66561,0.030688336
128,256,4,atlas,3351932,5924,0.006319075
128,256,8,atlas,3449340,6013,0.006780337
128,256,32,atlas,4041979,6776,0.007200692
128,256,64,atlas,4826458,7780,0.007448435
128,256,128,atlas,6404295,9773,0.009335038
128,256,256,atlas,9537652,13588,0.010932345
128,256,512,atlas,15820656,21342,0.014400958
128,256,1024,atlas,28386656,36931,0.021451483
128,256,2048,atlas,53518656,68491,0.031201393
128,256,4096,atlas,103782648,131234,0.051157033
128,512,4,atlas,6590588,9879,0.008604219
128,512,8,atlas,6785136,10268,0.008711738
128,512,32,atlas,7967955,11701,0.008620311
128,512,64,atlas,9541694,13550,0.010394582
128,512,128,atlas,12687276,17505,0.013296673
128,512,256,atlas,18962152,25311,0.016370951
128,512,512,atlas,31528152,41021,0.023530216
128,512,1024,atlas,56660152,72498,0.031698710
128,512,2048,atlas,106924129,135218,0.052607282
128,512,4096,atlas,207452125,261289,0.078803311
128,1024,4,atlas,13067880,18047,0.013012913
128,1024,8,atlas,13464920,18645,0.007806195
128,1024,32,atlas,15822643,21611,0.006152907
128,1024,64,atlas,18966175,25467,0.016621934
128,1024,128,atlas,25253280,33063,0.020734292
128,1024,256,atlas,37811152,48779,0.024238276
128,1024,512,atlas,62943152,80598,0.039262590
128,1024,1024,atlas,113207129,143417,0.047997698
128,1024,2048,atlas,213735125,270094,0.084592289
128,1024,4096,atlas,414791117,520758,0.153838336
128,2048,4,atlas,26030683,34322,0.011620033
128,2048,8,atlas,26816296,34982,0.021289406
128,2048,32,atlas,31530143,40874,0.021631501
128,2048,64,atlas,37815194,48731,0.023262955
128,2048,128,atlas,50385295,64394,0.035709067
128,2048,256,atlas,75509152,96041,0.037577912
128,2048,512,atlas,125773148,158804,0.057587161
128,2048,1024,atlas,226301148,286486,0.091019622
128,2048,2048,atlas,427357140,536532,0.160386372
128,2048,4096,atlas,829469124,1040223,0.287885750
128,4096,4,atlas,51948040,67076,0.033538628
128,4096,8,atlas,53519103,68325,0.034588300
128,4096,32,atlas,62945124,80162,0.039352570
128,4096,64,atlas,75513198,96431,0.038294156
128,4096,128,atlas,100649291,127247,0.050176542
128,4096,256,atlas,150905129,190271,0.066086823
128,4096,512,atlas,251433148,316335,0.095600277
128,4096,1024,atlas,452489112,567999,0.160730241
128,4096,2048,atlas,854601115,1072657,0.300543450
128,4096,4096,atlas,1658825084,2079649,0.563272783
256,4,4,atlas,212057,1880,0.004262377
256,4,8,atlas,214108,1987,0.001268304
256,4,32,atlas,226281,2013,0.004538564
256,4,64,atlas,242629,2058,0.000708912
256,4,128,atlas,258742,2012,0.000724875
256,4,256,atlas,307318,2080,0.004578935
256,4,512,atlas,404466,2160,0.004249729
256,4,1024,atlas,598762,2521,0.004539009
256,4,2048,atlas,995554,3034,0.005227272
256,4,4096,atlas,1780926,4116,0.001247248
256,8,4,atlas,310716,2102,0.004760954
256,8,8,atlas,314262,2099,0.004478841
256,8,32,atlas,335681,2163,0.004537342
256,8,64,atlas,355890,2254,0.004886640
256,8,128,atlas,404466,2237,0.004701157
256,8,256,atlas,501618,2330,0.005619811
256,8,512,atlas,695918,2635,0.004444545
