Matrix Size,Tile Size,Command,Instructions,Cache Misses,Elapsed Time
256,8,1024,atlas,1092702,3175,0.005244883
256,8,2048,atlas,1878134,4080,0.001520175
256,8,4096,atlas,3448886,6114,0.007512990
256,32,4,atlas,910913,2984,0.004997345
256,32,8,atlas,923720,2906,0.000950302
256,32,32,atlas,999634,2948,0.005154419
256,32,64,atlas,1092713,3141,0.004458508
256,32,128,atlas,1287013,3315,0.005847961
256,32,256,atlas,1683801,3900,0.005894813
256,32,512,atlas,2469218,4900,0.001451879
256,32,1024,atlas,4039951,6795,0.007486822
256,32,2048,atlas,7181470,10813,0.009837669
256,32,4096,atlas,13464470,18489,0.013984676
256,64,4,atlas,1708580,3953,0.001148414
256,64,8,atlas,1733427,3918,0.006040165
256,64,32,atlas,1882474,4196,0.005724311
256,64,64,atlas,2080851,4336,0.006489150
256,64,128,atlas,2469502,4936,0.001869992
256,64,256,atlas,3254571,5916,0.001700732
256,64,512,atlas,4825350,7811,0.007593564
256,64,1024,atlas,7966831,11586,0.009978466
256,64,2048,atlas,14249846,19426,0.013276874
256,64,4096,atlas,26815846,35091,0.022806246
256,128,4,atlas,3303597,5936,0.003004184
256,128,8,atlas,3352708,5990,0.001696158
256,128,32,atlas,3647208,6264,0.006239259
256,128,64,atlas,4039933,6825,0.006442964
256,128,128,atlas,4825322,7829,0.007822953
256,128,256,atlas,6396157,9754,0.008260956
256,128,512,atlas,9537657,13665,0.006619817
256,128,1024,atlas,15820657,21521,0.012660204
256,128,2048,atlas,28386657,37092,0.023483620
256,128,4096,atlas,53518661,68533,0.031929651
256,256,4,atlas,6493688,9802,0.008969793
256,256,8,atlas,6591356,9974,0.008863256
256,256,32,atlas,7185530,10721,0.009059331
256,256,64,atlas,7966813,11788,0.003086851
256,256,128,atlas,9537647,13782,0.004463193
256,256,256,atlas,12679157,17714,0.005788108
256,256,512,atlas,18962161,25240,0.016502708
256,256,1024,atlas,31528161,41005,0.022002574
256,256,2048,atlas,56660157,72128,0.036916440
256,256,4096,atlas,106924138,135377,0.048664619
256,512,4,atlas,12873821,17834,0.012384017
256,512,8,atlas,13068652,17985,0.012810446
256,512,32,atlas,14250958,19427,0.013193966
256,512,64,atlas,15828771,21575,0.008629014
256,512,128,atlas,18962147,25346,0.017186898
256,512,256,atlas,25245156,33133,0.018297348
256,512,512,atlas,37811152,48794,0.027923978
256,512,1024,atlas,62943156,80251,0.032385394
256,512,2048,atlas,113207148,143200,0.049426457
256,512,4096,atlas,213735144,269183,0.083749065
256,1024,4,atlas,25634136,33751,0.021029753
256,1024,8,atlas,26031455,34084,0.021395644
256,1024,32,atlas,28390698,37162,0.015672240
256,1024,64,atlas,31536290,41198,0.018210236
256,1024,128,atlas,37811147,48840,0.020900048
256,1024,256,atlas,50377156,64573,0.035382003
256,1024,512,atlas,75509152,96086,0.039710455
256,1024,1024,atlas,125773148,159423,0.056602942
256,1024,2048,atlas,226301144,284812,0.093791512
256,1024,4096,atlas,427357136,536455,0.144214066
256,2048,4,atlas,51162939,65631,0.029031929
256,2048,8,atlas,51948936,66375,0.034614962
256,2048,32,atlas,56664194,73268,0.035841414
256,2048,64,atlas,62951290,80418,0.035676394
256,2048,128,atlas,75509132,95953,0.043586773
256,2048,256,atlas,100641148,127398,0.046232789
256,2048,512,atlas,150905148,190478,0.064833490
256,2048,1024,atlas,251433125,316354,0.101649297
256,2048,2048,atlas,452489140,567420,0.150378137
256,2048,4096,atlas,854601101,1071971,0.297272883
256,4096,4,atlas,102212292,129382,0.046026102
256,4096,8,atlas,103783615,131608,0.046666494
256,4096,32,atlas,113211190,143205,0.054923190
256,4096,64,atlas,125781286,158924,0.057145036
256,4096,128,atlas,150905143,191279,0.064662266
256,4096,256,atlas,201169144,253490,0.075403921
256,4096,512,atlas,301697140,379139,0.119354417
256,4096,1024,atlas,502753127,631267,0.175449670
256,4096,2048,atlas,904865115,1142184,0.317762868
256,4096,4096,atlas,1709089084,2143533,0.575953407
512,4,4,atlas,309716,2237,0.005254697
512,4,8,atlas,312241,1944,0.005019029
512,4,32,atlas,319359,2078,0.004789565
512,4,64,atlas,331612,2132,0.004351729
512,4,128,atlas,355894,2195,0.003454631
512,4,256,atlas,404466,2239,0.004774491
512,4,512,atlas,501618,2354,0.004941750
512,4,1024,atlas,695918,2529,0.004719435
512,4,2048,atlas,1092702,3209,0.005453754
512,4,4096,atlas,1878134,4211,0.001205748
512,8,4,atlas,505532,2354,0.004618527
512,8,8,atlas,509582,2328,0.000763245
512,8,32,atlas,525900,2420,0.004558527
512,8,64,atlas,550194,2472,0.004770269
512,8,128,atlas,598766,2547,0.004421285
512,8,256,atlas,695914,2642,0.004806342
512,8,512,atlas,890191,2928,0.005134289
512,8,1024,atlas,1286998,3356,0.004902510
512,8,2048,atlas,2072411,4441,0.005621811
512,8,4096,atlas,3643182,6260,0.006892911
512,32,4,atlas,1697050,3825,0.005288364
512,32,8,atlas,1709273,3966,0.005375753
512,32,32,atlas,1780937,4004,0.006562353
512,32,64,atlas,1878418,4021,0.005150215
512,32,128,atlas,2072714,4385,0.001295711
512,32,256,atlas,2469483,4873,0.005973868
512,32,512,atlas,3254571,5848,0.001741528
512,32,1024,atlas,4825346,7974,0.002214346
512,32,2048,atlas,7966846,11711,0.009676741
512,32,4096,atlas,14249846,19537,0.014400232
512,64,4,atlas,3279846,5858,0.006599130
512,64,8,atlas,3305156,5978,0.006500038
512,64,32,atlas,3448849,6131,0.001692324
512,64,64,atlas,3643135,6294,0.002827979
512,64,128,atlas,4039923,6904,0.007100782
512,64,256,atlas,4825318,7825,0.007650322
512,64,512,atlas,6396157,9770,0.008422845
512,64,1024,atlas,9537657,13642,0.010734710
512,64,2048,atlas,15820661,21327,0.015039012
512,64,4096,atlas,28386642,36988,0.022549186
512,128,4,atlas,6445632,9762,0.006615038
512,128,8,atlas,6495228,9771,0.008305900
512,128,32,atlas,6784626,10280,0.008677643
512,128,64,atlas,7181422,10758,0.005171603
512,128,128,atlas,7966818,11667,0.009714334
512,128,256,atlas,9537652,13816,0.004599971
512,128,512,atlas,12679157,17569,0.012979093
512,128,1024,atlas,18962157,25410,0.017342433
512,128,2048,atlas,31528157,40983,0.024437529
512,128,4096,atlas,56660157,72437,0.033434896
512,256,4,atlas,12777208,17763,0.007289357
512,256,8,atlas,12875365,17723,0.012822777
512,256,32,atlas,13464414,18504,0.012673555
512,256,64,atlas,14249813,19677,0.007043411
512,256,128,atlas,15820628,21651,0.006397870
512,256,256,atlas,18962152,25245,0.016906524
512,256,512,atlas,25245157,33369,0.008526123
512,256,1024,atlas,37811157,48839,0.028632072
512,256,2048,atlas,62943138,80177,0.034905516
512,256,4096,atlas,113207134,143117,0.055610708
512,512,4,atlas,25440356,33368,0.020694730
512,512,8,atlas,25635657,33742,0.020166486
512,512,32,atlas,26815813,34903,0.021936663
512,512,64,atlas,28386651,37027,0.022681223
512,512,128,atlas,31528147,40807,0.024925088
512,512,256,atlas,37811147,48929,0.030155710
512,512,512,atlas,50377157,64571,0.031664182
512,512,1024,atlas,75509161,95890,0.038359812
512,512,2048,atlas,125773153,158805,0.056982920
512,512,4096,atlas,226301153,286139,0.085847900
512,1024,4,atlas,50766637,64988,0.031025771
512,1024,8,atlas,51164483,65634,0.032334592
512,1024,32,atlas,53526790,68429,0.033893972
512,1024,64,atlas,56660132,72471,0.032493594
512,1024,128,atlas,62943147,80485,0.031655625
512,1024,256,atlas,75509128,95800,0.044017715
512,1024,512,atlas,100641152,127621,0.044515903
512,1024,1024,atlas,150905148,190405,0.064913891
512,1024,2048,atlas,251433144,316580,0.100444631
512,1024,4096,atlas,452489140,568087,0.167138271
512,2048,4,atlas,101427451,128942,0.051580832
512,2048,8,atlas,102212932,129719,0.042701522
512,2048,32,atlas,106932286,135447,0.046495377
512,2048,64,atlas,113207147,143008,0.055201353
512,2048,128,atlas,125773128,158664,0.059265061
512,2048,256,atlas,150905143,190437,0.053924105
512,2048,512,atlas,201169144,253447,0.084718706
512,2048,1024,atlas,301697144,379397,0.110697151
512,2048,2048,atlas,502753117,630735,0.183891068
512,2048,4096,atlas,904865116,1134806,0.314472962
512,4096,4,atlas,202740951,255429,0.095913566
512,4096,8,atlas,204312635,257254,0.082292617
512,4096,32,atlas,213743263,268734,0.077277701
512,4096,64,atlas,226301139,284652,0.092132803
512,4096,128,atlas,251433139,316393,0.097306666
512,4096,256,atlas,301697135,379394,0.117637430
512,4096,512,atlas,402225136,505046,0.148053011
512,4096,1024,atlas,603281123,757458,0.214075554
512,4096,2048,atlas,1005393107,1260900,0.346649216
512,4096,4096,atlas,1809617084,2269219,0.611195298
1024,4,4,atlas,505036,2426,0.004272450
1024,4,8,atlas,508603,2456,0.004495859
1024,4,32,atlas,513659,2416,0.004341284
1024,4,64,atlas,525904,2385,0.000790412
1024,4,128,atlas,550190,2419,0.004683341
1024,4,256,atlas,598762,2434,0.004506192
1024,4,512,atlas,695914,2617,0.004838380
1024,4,1024,atlas,890210,2964,0.000929468
1024,4,2048,atlas,1286998,3414,0.005386846
1024,4,4096,atlas,2072425,4377,0.005552254
1024,8,4,atlas,903355,2971,0.004920584
1024,8,8,atlas,908440,2923,0.004975084
1024,8,32,atlas,922688,3027,0.005139881
1024,8,64,atlas,946997,2948,0.005143325
1024,8,128,atlas,995550,3044,0.004823213
1024,8,256,atlas,1092717,3235,0.001087507
1024,8,512,atlas,1286994,3427,0.005678588
1024,8,1024,atlas,1683801,3950,0.005573217
1024,8,2048,atlas,2469218,4871,0.006347147
1024,8,4096,atlas,4039946,6927,0.002309791
1024,32,4,atlas,3268638,5850,0.006422666
1024,32,8,atlas,3282902,5941,0.007193430
1024,32,32,atlas,3351706,5895,0.006301647
1024,32,64,atlas,3448862,6166,0.006912799
1024,32,128,atlas,3643158,6214,0.007700525
1024,32,256,atlas,4039946,6822,0.006738409
1024,32,512,atlas,4825299,7756,0.007412876
1024,32,1024,atlas,6396161,9880,0.003597243
1024,32,2048,atlas,9537657,13552,0.009715907
1024,32,4096,atlas,15820652,21423,0.015270457
1024,64,4,atlas,6422374,9834,0.008317918
1024,64,8,atlas,6448711,9866,0.008363048
1024,64,32,atlas,6590353,9881,0.008485029
1024,64,64,atlas,6784654,10147,0.008720587
1024,64,128,atlas,7181442,10879,0.002897868
1024,64,256,atlas,7966803,11608,0.009992001
1024,64,512,atlas,9537637,13586,0.010494541
1024,64,1024,atlas,12679142,17537,0.012360088
1024,64,2048,atlas,18962157,25342,0.015869609
1024,64,4096,atlas,31528152,41307,0.020971896
1024,128,4,atlas,12729637,17578,0.012912277
1024,128,8,atlas,12780279,17639,0.012317032
1024,128,32,atlas,13067630,18106,0.012354774
1024,128,64,atlas,13464441,18479,0.013651280
1024,128,128,atlas,14249818,19721,0.005106900
1024,128,256,atlas,15820633,21407,0.014573564
1024,128,512,atlas,18962152,25402,0.008112194
1024,128,1024,atlas,25245157,33055,0.021137489
1024,128,2048,atlas,37811157,48846,0.026636169
1024,128,4096,atlas,62943152,80283,0.033147502
1024,256,4,atlas,25344232,33342,0.014944492
1024,256,8,atlas,25443416,33400,0.020987415
1024,256,32,atlas,26030437,34026,0.021707882
1024,256,64,atlas,26815813,35060,0.021160286
1024,256,128,atlas,28386632,37012,0.017333858
1024,256,256,atlas,31528133,41113,0.019447203
1024,256,512,atlas,37811133,48793,0.025158846
1024,256,1024,atlas,50377161,64664,0.027928176
1024,256,2048,atlas,75509157,95848,0.044254694
1024,256,4096,atlas,125773148,158849,0.053698451
1024,512,4,atlas,50573380,64796,0.031673493
1024,512,8,atlas,50769727,65292,0.027051356
1024,512,32,atlas,51947813,66454,0.032304923
1024,512,64,atlas,53518647,68661,0.029958762
1024,512,128,atlas,56660147,72300,0.033397151
1024,512,256,atlas,62943147,79999,0.038107344
1024,512,512,atlas,75509152,96147,0.035892091
1024,512,1024,atlas,100641134,127382,0.048217309
1024,512,2048,atlas,150905157,190344,0.067139656
1024,512,4096,atlas,251433125,316355,0.098553463
1024,1024,4,atlas,101031676,128039,0.044573436
1024,1024,8,atlas,101430530,128391,0.053063836
1024,1024,32,atlas,103782643,130951,0.047216655
1024,1024,64,atlas,106924147,135160,0.049673169
1024,1024,128,atlas,113207147,143633,0.044928994
1024,1024,256,atlas,125773128,158763,0.059125870
1024,1024,512,atlas,150905147,190233,0.069752115
1024,1024,1024,atlas,201169149,253126,0.083898176
1024,1024,2048,atlas,301697130,381565,0.115919208
1024,1024,4096,atlas,502753127,631011,0.178928896
1024,2048,4,atlas,201956475,253818,0.075905594
1024,2048,8,atlas,202740935,255374,0.080131876
1024,2048,32,atlas,207452139,261486,0.076691469
1024,2048,64,atlas,213735139,270244,0.082159370
1024,2048,128,atlas,226301139,285276,0.089990340
1024,2048,256,atlas,251433120,316348,0.099200503
1024,2048,512,atlas,301697135,380750,0.111974907
1024,2048,1024,atlas,402225117,505377,0.138101351
1024,2048,2048,atlas,603281113,757029,0.214096796
1024,2048,4096,atlas,1005393107,1260839,0.343992637
1024,4096,4,atlas,403797119,507037,0.151638334
1024,4096,8,atlas,405370678,508898,0.148351352
1024,4096,32,atlas,414791131,521145,0.169889380
1024,4096,64,atlas,427357112,539616,0.141138792
1024,4096,128,atlas,452489131,568052,0.164327793
1024,4096,256,atlas,502753127,635448,0.177811739
1024,4096,512,atlas,603281123,756893,0.216536216
1024,4096,1024,atlas,804337119,1009801,0.282019731
1024,4096,2048,atlas,1206449099,1512868,0.416881247
1024,4096,4096,atlas,2010673062,2537925,0.677859805
2048,4,4,atlas,903894,2826,0.005168992
2048,4,8,atlas,901360,2951,0.004476173
2048,4,32,atlas,910443,2879,0.005318844
2048,4,64,atlas,922707,2879,0.002171142
2048,4,128,atlas,946993,2890,0.005210400
2048,4,256,atlas,995569,3021,0.005028213
2048,4,512,atlas,1092717,3224,0.001085858
2048,4,1024,atlas,1287017,3521,0.005547198
2048,4,2048,atlas,1683777,3967,0.005328900
2048,4,4096,atlas,2469194,4841,0.005888459
2048,8,4,atlas,1687984,3937,0.005689569
2048,8,8,atlas,1689766,3975,0.005695643
2048,8,32,atlas,1708083,3930,0.005529883
2048,8,64,atlas,1732346,3997,0.005443771
2048,8,128,atlas,1780941,4049,0.001282174
2048,8,256,atlas,1878414,4138,0.006496185
2048,8,512,atlas,2072714,4324,0.006249942
2048,8,1024,atlas,2469479,4886,0.005984959
2048,8,2048,atlas,3254566,5775,0.005942496
2048,8,4096,atlas,4825341,7715,0.008296176
2048,32,4,atlas,6412208,9730,0.008547196
2048,32,8,atlas,6428521,9733,0.008462881
2048,32,32,atlas,6493191,9873,0.008747956
2048,32,64,atlas,6590339,10005,0.008413899
2048,32,128,atlas,6784654,10210,0.008722530
2048,32,256,atlas,7181423,10693,0.009222070
2048,32,512,atlas,7966818,11651,0.009367367
2048,32,1024,atlas,9537652,13632,0.010984820
2048,32,2048,atlas,12679152,17742,0.004867305
2048,32,4096,atlas,18962152,25396,0.016721723
2048,64,4,atlas,12707421,17696,0.013177685
2048,64,8,atlas,12735803,17625,0.012906683
2048,64,32,atlas,12873353,17656,0.013229629
2048,64,64,atlas,13067654,17885,0.011971492
2048,64,128,atlas,13464442,18496,0.012934813
2048,64,256,atlas,14249799,19523,0.013841763
2048,64,512,atlas,15820633,21425,0.010238854
2048,64,1024,atlas,18962152,25319,0.016226183
2048,64,2048,atlas,25245152,33153,0.018574919
2048,64,4096,atlas,37811156,48865,0.021868048
2048,128,4,atlas,25297707,33349,0.016866002
2048,128,8,atlas,25350379,33092,0.021262266
2048,128,32,atlas,25633649,33609,0.016480055
2048,128,64,atlas,26030418,34143,0.015668051
2048,128,128,atlas,26815818,34949,0.021580324
2048,128,256,atlas,28386652,36926,0.023114389
2048,128,512,atlas,31528152,41057,0.017295004
2048,128,1024,atlas,37811152,48915,0.028360473
2048,128,2048,atlas,50377156,64466,0.031564491
2048,128,4096,atlas,75509156,95903,0.037425283
2048,256,4,atlas,50478260,64678,0.030945283
2048,256,8,atlas,50571349,64803,0.031846677
2048,256,32,atlas,51162437,65781,0.024091024
2048,256,64,atlas,51947809,66676,0.027925397
2048,256,128,atlas,53518647,68281,0.037597377
2048,256,256,atlas,56660152,72382,0.037114115
2048,256,512,atlas,62943152,80246,0.033625391
2048,256,1024,atlas,75509133,95956,0.041841104
2048,256,2048,atlas,100641129,127324,0.052147216
2048,256,4096,atlas,150905152,190617,0.064223876
2048,512,4,atlas,100839427,127430,0.051670288
2048,512,8,atlas,101029641,127872,0.048095379
2048,512,32,atlas,102211794,129391,0.048235547
2048,512,64,atlas,103782643,131609,0.051769029
2048,512,128,atlas,106924143,135011,0.053806652
2048,512,256,atlas,113207147,143858,0.049560091
2048,512,512,atlas,125773129,159197,0.048376084
2048,512,1024,atlas,150905148,190541,0.059802500
2048,512,2048,atlas,201169129,253372,0.084221488
2048,512,4096,atlas,301697121,379833,0.114579212
2048,1024,4,atlas,201561700,254024,0.078585808
2048,1024,8,atlas,201954425,254305,0.082893702
2048,1024,32,atlas,204310639,257278,0.082272420
2048,1024,64,atlas,207452139,260989,0.076898354
2048,1024,128,atlas,213735139,270481,0.078767994
2048,1024,256,atlas,226301139,284594,0.091870566
2048,1024,512,atlas,251433139,316372,0.096968706
2048,1024,1024,atlas,301697140,379130,0.113767725
2048,1024,2048,atlas,402225136,506351,0.131992790
2048,1024,4096,atlas,603281123,757043,0.213518188
2048,2048,4,atlas,403014541,505994,0.150292411
2048,2048,8,atlas,403795825,507811,0.148458345
2048,2048,32,atlas,408508136,513174,0.148485659
2048,2048,64,atlas,414791117,520749,0.148249880
2048,2048,128,atlas,427357117,536509,0.155864163
2048,2048,256,atlas,452489136,569906,0.163968486
2048,2048,512,atlas,502753136,631128,0.179383590
2048,2048,1024,atlas,603281128,757320,0.213795559
2048,2048,2048,atlas,804337114,1008903,0.280089149
2048,2048,4096,atlas,1206449098,1513217,0.408917606
2048,4096,4,atlas,805909106,1016466,0.280960376
2048,4096,8,atlas,807486758,1012648,0.285765662
2048,4096,32,atlas,816903096,1024603,0.283801744
2048,4096,64,atlas,829469115,1041241,0.299298292
2048,4096,128,atlas,854601115,1072730,0.295671698
2048,4096,256,atlas,904865096,1134978,0.315640624
2048,4096,512,atlas,1005393107,1260901,0.346178793
2048,4096,1024,atlas,1206449099,1512631,0.414746321
2048,4096,2048,atlas,1608561082,2017571,0.560425575
2048,4096,4096,atlas,2412785027,3024836,0.799869403
4096,4,4,atlas,1685216,3833,0.005663050
4096,4,8,atlas,1686740,3920,0.005550512
4096,4,32,atlas,1695838,3878,0.005961199
4096,4,64,atlas,1708083,4004,0.005135565
4096,4,128,atlas,1732365,3935,0.005612327
4096,4,256,atlas,1780945,4010,0.005692327
4096,4,512,atlas,1878414,4141,0.005797106
4096,4,1024,atlas,2072705,4350,0.005755458
4096,4,2048,atlas,2469497,4900,0.006634593
4096,4,4096,atlas,3254585,5938,0.001780843
4096,8,4,atlas,3265702,5854,0.007054428
4096,8,8,atlas,3260575,5869,0.006541092
4096,8,32,atlas,3278852,5746,0.006628259
4096,8,64,atlas,3303138,5838,0.006298905
4096,8,128,atlas,3351710,5988,0.006799631
4096,8,256,atlas,3448839,6115,0.006632333
4096,8,512,atlas,3643154,6323,0.006802205
4096,8,1024,atlas,4039918,6744,0.007448374
4096,8,2048,atlas,4825317,7722,0.007730098
4096,8,4096,atlas,6396156,9811,0.005374771
4096,32,4,atlas,12699300,17693,0.006212090
4096,32,8,atlas,12703347,17691,0.012744441
4096,32,32,atlas,12776187,17513,0.011495508
4096,32,64,atlas,12873358,17709,0.013336870
4096,32,128,atlas,13067658,18023,0.012605588
4096,32,256,atlas,13464427,18600,0.007201077
4096,32,512,atlas,14249822,19547,0.013979540
4096,32,1024,atlas,15820647,21375,0.014704563
4096,32,2048,atlas,18962147,25537,0.010967709
4096,32,4096,atlas,25245152,33179,0.015815681
4096,64,4,atlas,25277517,33239,0.020154982
4096,64,8,atlas,25293629,33238,0.020824448
4096,64,32,atlas,25439334,33257,0.020157853
4096,64,64,atlas,25633654,33670,0.016055015
4096,64,128,atlas,26030442,34211,0.021471341
4096,64,256,atlas,26815799,35118,0.017744431
4096,64,512,atlas,28386652,37135,0.019311329
4096,64,1024,atlas,31528147,40929,0.023662538
4096,64,2048,atlas,37811128,49151,0.024513821
4096,64,4096,atlas,50377156,64581,0.029727609
4096,128,4,atlas,50433799,64745,0.027597301
4096,128,8,atlas,50474205,64557,0.034557025
4096,128,32,atlas,50765649,64806,0.035305195
4096,128,64,atlas,51162422,65405,0.032322179
4096,128,128,atlas,51947814,66384,0.034172115
4096,128,256,atlas,53518656,68290,0.036023348
4096,128,512,atlas,56660133,72629,0.030713485
4096,128,1024,atlas,62943147,80163,0.038604010
4096,128,2048,atlas,75509147,95647,0.042609235
4096,128,4096,atlas,100641148,127194,0.051485451
4096,256,4,atlas,100746371,127579,0.047746782
4096,256,8,atlas,100835334,127858,0.042460790
4096,256,32,atlas,101426433,128835,0.055767123
4096,256,64,atlas,102211813,129160,0.050980819
4096,256,128,atlas,103782628,131131,0.052625031
4096,256,256,atlas,106924152,135543,0.041794712
4096,256,512,atlas,113207148,143074,0.043932817
4096,256,1024,atlas,125773143,158932,0.051207839
4096,256,2048,atlas,150905143,190149,0.067262557
4096,256,4096,atlas,201169129,253188,0.084312317
4096,512,4,atlas,201363341,253715,0.081447858
4096,512,8,atlas,201557645,253668,0.084640412
4096,512,32,atlas,202739805,255260,0.081780637
4096,512,64,atlas,204310620,257308,0.077885985
4096,512,128,atlas,207452139,261120,0.080042664
4096,512,256,atlas,213735139,270011,0.088883528
4096,512,512,atlas,226301148,284744,0.092499121
4096,512,1024,atlas,251433120,316246,0.095982789
4096,512,2048,atlas,301697135,379383,0.112008526
4096,512,4096,atlas,402225140,505048,0.151171205
4096,1024,4,atlas,402613638,505218,0.149953124
4096,1024,8,atlas,403010449,505681,0.150345718
4096,1024,32,atlas,405366636,509328,0.143234346
4096,1024,64,atlas,408508136,512911,0.150909629
4096,1024,128,atlas,414791136,520688,0.155617062
4096,1024,256,atlas,427357140,536365,0.159790567
4096,1024,512,atlas,452489117,568178,0.163110789
4096,1024,1024,atlas,502753131,630978,0.204097386
4096,1024,2048,atlas,603281123,759324,0.211004145
4096,1024,4096,atlas,804337110,1009154,0.279134633
4096,2048,4,atlas,805122410,1010032,0.281662887
4096,2048,8,atlas,805907813,1010958,0.285442167
4096,2048,32,atlas,810620124,1017049,0.277886088
4096,2048,64,atlas,816903120,1024908,0.279696469
4096,2048,128,atlas,829469124,1040580,0.286023633
4096,2048,256,atlas,854601124,1072726,0.298475886
4096,2048,512,atlas,904865116,1135784,0.314851532
4096,2048,1024,atlas,1005393107,1260834,0.342438907
4096,2048,2048,atlas,1206449079,1512828,0.415163159
4096,2048,4096,atlas,1608561059,2016908,0.539695567
4096,4096,4,atlas,1610131773,2018986,0.546416585
4096,4096,8,atlas,1611702588,2020814,0.541068501
4096,4096,32,atlas,1621127088,2031886,0.561536613
4096,4096,64,atlas,1633693088,2047165,0.522990456
4096,4096,128,atlas,1658825065,2078380,0.516200622
4096,4096,256,atlas,1709089069,2142614,0.580238197
4096,4096,512,atlas,1809617080,2287377,0.610753976
4096,4096,1024,atlas,2010673047,2520717,0.679764060
4096,4096,2048,atlas,2412785027,3036551,0.805988569
4096,4096,4096,atlas,3217008991,4033401,1.069599909
